"participantnum","date","ms_condition","dv_order","prous1","prous2","prous3","prous4","prous5","antius1","antius2","antius3","antius4","antius5","cheerful","sad","active","angryatself","disgusted","calm","guilty","enthusiastic","attentive","afraid","joyful","downhearted","bashful","tired","nervous","sheepish","sluggish","amazed","lonely","distressed","daring","shaky","sleepy","blameworthy","surprised","happy","excited","determined","strong","timid","hostile","frightened","scornful","alone","proud","astonished","relaxed","alert","jittery","interested","irritable","upset","lively","loathing","delighted","angry","ashamed","confident","inspired","bold","atease","energetic","fearless","blue","scared","concentrating","disgustedwithself","shy","drowsy","dissatisfiedwithself","countryofbirth","race","americanid","msincomplete","expert","source","location","proauth_avg","antiauth_avg","pro_minus_anti","pass_ER1","pass_ER2","pass_ER3","source_n"
"63",NA,"ms","pro-first",7,7,6,8,6,7,8,8,7,6,"3","2","2","1","1","4","1","2","4","1","3","1","2","2","1","1","2","1","1","1","1","1","2","1","1","4","1","1","1","1","1","1","1","1","1","1","3","3","1","2","3","1","1","1","3","1","1","1","1","1","4","2","1","1","1","4","1","1","1","1","1","4",7,"0",1,"riverside","riverside",6.66666666666667,7,-0.333333333333333,TRUE,FALSE,FALSE,107
"64",NA,"tv","pro-first",7,8,6,8,7,6,7,5,5,5,"3","3","2","4","1","4","2","2","4","2","2","3","2","4","3","2","2","1","5","3","3","1","3","2","1","2","2","3","4","3","1","3","3","4","1","1","3","2","1","4","3","2","2","3","1","1","1","3","2","2","3","2","1","4","2","4","3","2","2","4","1","5",7,"0",1,"riverside","riverside",7,5,2,TRUE,FALSE,FALSE,107
"65",NA,"tv","anti-first",9,9,8,9,8,7,6,7,5,7,"3","1","2","1","1","4","1","1","4","1","1","1","1","5","1","1","3","1","1","1","1","1","5","1","1","2","1","1","1","1","1","1","1","1","1","1","3","4","3","3","1","1","1","1","1","1","2","3","1","1","1","4","1","1","1","4","1","1","5","1","1","4",7,"0",1,"riverside","riverside",8.33333333333333,6.33333333333333,2,TRUE,FALSE,FALSE,107
"66",NA,"ms","anti-first",6,6,7,7,7,6,6,7,7,7,"5","2","4","1","1","4","1","2","5","1","5","1","1","5","3","2","3","5","2","3","1","2","3","1","1","5","1","5","5","2","1","1","1","2","1","1","4","5","2","2","1","1","2","1","5","1","1","2","1","3","4","3","4","2","1","4","1","1","3","1","2","4",4,"0",1,"riverside","riverside",7,7,0,TRUE,FALSE,FALSE,107
"67",NA,"tv","anti-first",6,6,7,8,9,5,6,8,9,8,"3","1","3","4","1","1","1","1","5","1","3","1","2","5","1","3","5","1","1","2","4","1","5","1","5","5","2","4","5","1","1","1","1","2","3","1","4","3","1","1","3","1","4","1","2","1","1","5","4","1","4","3","5","1","1","1","1","1","1","1","1",NA,7,"0",1,"riverside","riverside",8,8.33333333333333,-0.333333333333334,TRUE,FALSE,FALSE,107
"68",NA,"ms","pro-first",3,2,3,4,4,7,6,6,7,6,"3","1","2","1","1","3","1","2","2","1","1","1","1","4","2","1","2","1","1","1","1","1","4","1","1","1","1","1","3","1","1","1","1","1","1","1","2","2","1","1","2","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","4","1","2","4",6,"0",1,"riverside","riverside",3.66666666666667,6.33333333333333,-2.66666666666667,TRUE,FALSE,FALSE,107
"70",NA,"tv","pro-first",8,8,8,9,9,2,3,4,2,3,"3","1","5","1","1","2","1","4","4","1","4","1","1","1","1","1","1","3","1","4","4","1","1","2","1","4","4","4","3","1","1","1","3","1","3","3","2","3","1","5","2","1","4","1","2","1","1","3","4","3","2","5","3","1","1","4","2","1","1","2","1","6",6,"0",1,"riverside","riverside",8.66666666666667,3,5.66666666666667,TRUE,FALSE,FALSE,107
"71",NA,"ms","pro-first",7,4,5,6,5,6,4,4,5,4,"2","1","1","1","1","2","1","1","4","2","1","1","1","4","3","1","2","1","1","2","1","2","5","1","1","2","1","2","1","2","1","1","1","1","1","1","2","4","1","4","1","1","1","1","1","1","1","3","1","1","2","1","1","1","2","4","1","1","1","1","1","4",6,"0",1,"riverside","riverside",5.33333333333333,4.33333333333333,1,TRUE,FALSE,FALSE,107
"72",NA,"tv","pro-first",7,7,5,5,5,7,8,7,6,7,"3","1","3","1","1","4","1","2","3","1","3","4","1","5","2","2","4","3","1","2","3","1","5","1","1","3","3","3","4","2","3","1","1","1","2","1","3","3","1","2","2","1","1","1","3","1","1","3","4","3","3","2","3","1","1","4","1","2","5","1","1","4",7,"0",1,"riverside","riverside",5,6.66666666666667,-1.66666666666667,TRUE,FALSE,FALSE,107
"73",NA,"tv","pro-first",8,8,9,9,9,6,4,8,8,9,"3","1","5","1","1","5","2","5","4","2","5","1","3","1","1","1","1","1","1","1","5","1","2","1","2","5","5","5","5","2","1","1","1","1","3","1","4","5","1","5","1","1","5","1","4","1","1","5","4","5","5","3","3","1","1","3","1","1","1","1","1","6",8,"0",1,"riverside","riverside",9,8.33333333333333,0.666666666666666,TRUE,FALSE,FALSE,107
"74",NA,"tv","anti-first",7,7,7,8,8,5,6,5,8,7,"1","4","1","1","1","5","1","1","3","2","1","2","1","5","4","2","5","1","4","5","1","2","5","1","1","1","1","2","4","1","2","1","2","4","3","1","4","1","1","2","2","2","1","1","1","2","2","2","2","1","3","1","2","4","2","2","1","1","3","3","1","4",3,"0",1,"riverside","riverside",7.66666666666667,6.66666666666667,1,TRUE,FALSE,FALSE,107
"75",NA,"ms","pro-first",4,4,7,8,7,8,8,8,8,8,"2","1","1","1","1","3","1","1","3","2","1","2","1","4","1","1","2","1","2","1","1","1","4","1","1","1","1","1","2","1","1","1","1","2","1","1","3","2","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","2","3","1","4","4","1","1","6",5,"0",1,"riverside","riverside",7.33333333333333,8,-0.666666666666667,TRUE,FALSE,FALSE,107
"76",NA,"ms","anti-first",7,6,8,7,7,6,6,8,7,6,"4","2","3","1","1","4","1","4","4","1","4","1","2","4","1","1","3","4","2","1","3","1","3","1","3","4","4","4","3","2","1","1","2","2","3","4","4","4","1","4","2","2","3","1","4","1","1","4","4","4","1","4","3","1","1","3","1","1","3","1","1","4",7,"0",1,"riverside","riverside",7.33333333333333,7,0.333333333333333,TRUE,FALSE,FALSE,107
"77",NA,"tv","pro-first",5,6,4,5,3,5,6,3,4,4,"2","3","3","3","2","3","3","3","2","3","3","3","3","4","4","2","4","2","2","2","2","2","3","3","2","2","2","4","2","2","3","2","3","1","3","2","2","2","2","2","3","4","2","2","2","3","3","3","1","4","2","3","2","3","1","2","4","3","3","4","1","4",6,"0",1,"riverside","riverside",4,3.66666666666667,0.333333333333333,TRUE,FALSE,FALSE,107
"78",NA,"ms","anti-first",8,8,7,7.5,6,6,7,5,6,6,"2","1","2","1","1","2","1","1","4","1","2","1","1","3","2","1","2","1","2","1","3","3","3","1","1","2","1","1","1","4","1","1","1","4","1","1","3","5","1","1","2","1","2","2","1","1","1","1","1","1","1","1","1","1","2","2","2","3","3","2","1","6",5,"0",1,"riverside","riverside",6.83333333333333,5.66666666666667,1.16666666666667,TRUE,FALSE,FALSE,107
"79",NA,"ms","anti-first",9,9,6,8,6,2,1,3,1,4,"1","2","1","1","1","4","1","1","4","2","1","1","1","4","3","1","2","1","1","1","1","3","3","1","1","1","1","1","3","1","1","1","1","1","1","1","3","3","2","1","1","1","1","1","1","1","1","1","1","1","3","1","1","2","1","1","1","1","1","1","1","1",9,"0",1,"riverside","riverside",6.66666666666667,2.66666666666667,4,TRUE,TRUE,TRUE,107
"80",NA,"ms","pro-first",8,9,8,8,8,7,7,7,4,6,"1","2","1","5","1","3","1","1","5","5","1","3","1","5","5","1","5","1","4","5","3","1","4","1","1","1","1","5","3","1","1","5","1","4","1","1","1","4","1","1","1","3","1","5","1","3","4","1","1","2","1","1","2","4","5","5","4","2","1","5","1",NA,8,"0",1,"riverside","riverside",8,5.66666666666667,2.33333333333333,TRUE,FALSE,FALSE,107
"81",NA,"tv","pro-first",7,8,8,7,8,7,7,7,5,7,"3","1","1","1","1","4","1","1","4","2","3","1","1","4","2","1","3","1","1","1","2","1","3","1","1","3","1","1","4","3","2","1","1","1","1","1","4","4","3","3","1","1","1","1","3","1","1","3","1","1","3","2","1","1","1","3","1","1","1","1","1","4",6,"0",1,"riverside","riverside",7.66666666666667,6.33333333333333,1.33333333333333,TRUE,FALSE,FALSE,107
"82",NA,"ms","anti-first",7,7,7,7,6,6,5,7,7,5,"4","1","3","1","1","5","1","3","3","1","3","1","1","4","3","1","1","1","1","1","4","1","4","1","1","4","2","3","3","1","1","1","1","1","1","1","5","2","1","2","1","1","3","1","4","1","1",NA,"1","4","3","3","4","1","1","3","1","1","1","1","2","6",5,"0",1,"riverside","riverside",6.66666666666667,6.33333333333333,0.333333333333334,TRUE,FALSE,FALSE,107
"83",NA,"tv","anti-first",2,1,6,7,6,9,9,8,8,8,"1","2","3","1","4","2","1","1","4","3","1","3","4","4","2","2","1","1","2","5","4","1","4","1","1","1","1","4","2","4","4","3","3","5","1","1","1","5","2","1","3","2","1","5","1","5","1","3","1","2","1","1","1","2","3","4","1","2","4","1","1",NA,8,"0",1,"riverside","riverside",6.33333333333333,8,-1.66666666666667,TRUE,FALSE,FALSE,107
"84",NA,"ms","anti-first",5,6,5,5,3,2,1,5,3,1,"1","2","2","1","2","4","2","3","2","1","1","1","1","2","1","1","1","1","1","1","1","1","2","1","1","1","1","2","2","1","1","1","1","2","3","1","5","1","1","2","1","1","2","1","1","1","1","2","1","2","3","1","2","1","1","1","1","3","1","1","1","4",6,"0",1,"riverside","riverside",4.33333333333333,3,1.33333333333333,TRUE,FALSE,FALSE,107
"85",NA,"ms","anti-first",7,6,6,7,6,7,7,6,5,5,"3","1","3","1","1","4","1","1","4","1","1","1","1","2","1","1","2","1","1","1","1","1","2","1","2","1","1","1","3","1","1","1","1","1","2","1","4","3","1","4","1","1","1","1","2","1","1","3","2","1","4","2","3","1","1","3","1","2","1","1","1","1",7,"0",1,"riverside","riverside",6.33333333333333,5.33333333333333,1,TRUE,TRUE,TRUE,107
"86",NA,"tv","pro-first",7,8,7,7,7,6,7,7,6,7,"3","1","4","1","1","3","1","2","2","1","4","1","1","4","1","1","2","1","1","1","1","1","2","1","2","4","1","2","2","4","1","1","1","1","1","1","3","2","1","2","1","1","2","1","3","1","1","3","2","2","4","2","3","1","1","3","1","1","1","1","2","6",7,"0",1,"riverside","riverside",7,6.66666666666667,0.333333333333333,TRUE,FALSE,FALSE,107
"89",NA,"ms","anti-first",8,7,8,7,7,8,8,8,6,7,"1","3","1","2","3","2","1","1","3","2","1","1","2","5","3","1","2","1","1","1","1","1","5","2","1","1","1","2","2","1","1","1","2","1","1","1","1","1","1","1","4","3","1","1","1","1","2","1","3","1","1","1","1","2","2","2","2","1","2","3","1",NA,5,"0",1,"riverside","riverside",7.33333333333333,7,0.333333333333333,TRUE,FALSE,FALSE,107
"90",NA,"ms","anti-first",8,8,7,7,8,8,8,7,6,7,"2","2","1","3","1","3","2","1","1","2","1","1","1","5","4","1","4","1","2","3","1","1","5","3","1","2","1","4","1","2","1","1","1","2","1","1","1","1","1","1","4","2","1","1","1","1","1","1","1","1","1","1","1","3","1","1","1","5","3","4","1","6",4,"0",1,"riverside","riverside",7.33333333333333,6.66666666666667,0.666666666666666,TRUE,FALSE,FALSE,107
"91",NA,"ms","anti-first",7,9,8,8,8,4,4,6,3,5,"3","3","1","2","1","2","3","1","3","4","2","2","3","1","3","1","1","1","1","1","1","3","1","3","1","3","1","2","2","1","2","3",NA,"1","1",NA,"3","1","3","2","2","1","2",NA,"3","2","4","2","4","1","2","1","1","2","3","2","3","2","1","2","1",NA,8,"0",1,"riverside","riverside",8,4.66666666666667,3.33333333333333,TRUE,FALSE,FALSE,107
"92",NA,"ms","anti-first",8,5,7,8,5,9,7,5,8,6,"2","1","4","1","1","5","4","3","4","1","2","3","1","4","1","1","3","2","4","2","5","1","3","1","2","2","1","4","3","1","1","1","1","4","1","1","4","3","1","3","1","1","2","1","3","1","1","3","4","3","5","3","4","3","1","1","1","1","2","1","2","6",8,"0",1,"riverside","riverside",6.66666666666667,6.33333333333333,0.333333333333334,TRUE,FALSE,FALSE,107
"93",NA,"tv","pro-first",5,6,6,4,6,3,4,4,2,3,"1","1","3","1","1","3","1","2","3","1","2","1","1","4","1","1","3","1","1","2","1","1","3","1","1","3","1","3","2","2","1","1","1","1","1","1","3","3","1","1","1","1","1","1","1","1","1","3","1","1","2","1","2","1","1","3","1","2","1","1","2","1",7,"0",1,"riverside","riverside",5.33333333333333,3,2.33333333333333,TRUE,FALSE,FALSE,107
"94",NA,"ms","anti-first",7,6,6,7,6,7,7,7,7,6,"2","1","2","1","1","3","2","2","4","1","3","1","2","3","2","2","3","1","1","1","2","2","3","1","4","2","1","2","3","2","1","1","1","1","2","2","3","3","1","3","1","1","2","1","2","1","1","2","2","1","3","2","3","1","1","4","1","3","2","1","4","4",6,"0",1,"riverside","riverside",6.33333333333333,6.66666666666667,-0.333333333333334,TRUE,FALSE,FALSE,107
"95",NA,"ms","anti-first",7,6,7,8,7,3,4,7,6,3,"3","1","3","1","1","5","1","4","4","1","4","1","2","4","1","1","2","1","2","1","1","1","4","1","1","4","2","4","4","1","1","1","1","2","4","1","4","4","1","4","1","1","3","1","3","1","1","4","3","3","4","3","3","1","1","1","1","2","3","1","1","1",7,"0",1,"riverside","riverside",7.33333333333333,5.33333333333333,2,TRUE,TRUE,TRUE,107
"96",NA,"ms","pro-first",6,6,6,6,7,8,7,7,7,8,"2","1","1","1","2","2","2","1","4","3","3","1","3","2","3","1","3","2","1","2","2","1","4","1","1","2","2","2","2","1","1","3","1","1","1","1","2","4","1","2","1","3","1","1","2","1","1","2","1","1","1","1","3","1","2","4","1","3","4","1","1",NA,7,"0",1,"riverside","riverside",6.33333333333333,7.33333333333333,-1,TRUE,FALSE,FALSE,107
"97",NA,"tv","anti-first",9,9,9,9,9,8,8,8,7,8,"2","1","2","1","1","4","1","1","2","2","1","1","1","1","1","1","1","3","1","1","4","1","1","1","4","4","2","1","3","1","1","1","1","1","1","1","2","1","1","1","1","1","3","1","3","1","1","1","3","1","1","3","1","1","1","2","1","1","1","1","1","2",5,"0",1,"riverside","riverside",9,7.66666666666667,1.33333333333333,TRUE,FALSE,FALSE,107
"98",NA,"tv","anti-first",7,8,6,6,6,3,2,5,3,4,"3","1","4","1","1","3","1","3","4","1","3",NA,"1","1","1","1","1","1","3","2","3","1","1","1","1","4","2","4","4","2","1","1","1","3","3","1","4","3","4","4","1","1","4","1","3","1","1","4","3","3","3","4","3","2","1","4","1","2","1","1","1","2",7,"0",1,"riverside","riverside",6,4,2,TRUE,FALSE,FALSE,107
"99",NA,"ms","anti-first",5,4,4,7,5,4,3,2,2,3,"4","1","3","1","1","3","1","4","3","1","4","1","2","5","2","1","4","2","1","1","2","1","5","1","1","3","3","3","3","2","1","1","2","1","2","1","3","3","1","3","2","1","2","1","4","1","1","4","2","2","3","4","3","1","1","3","1","1","4","1","1","4",5,"0",1,"riverside","riverside",5.33333333333333,2.33333333333333,3,TRUE,FALSE,FALSE,107
"100",NA,"tv","anti-first",6,7,6,7,7,5,3,6,5,5,"3","1","2","1","1","3","1","1","3","1","2","1","1","3","1","1","2","1","2","1","3","1","3","1","1","2","2","1","2","2","1","1","1","2","2","1","3","2","1","1","1","1","1","1","2","1","1","2","1","2","3","2","1","1","1","2","1","2","2","2","1","1",7,"0",1,"riverside","riverside",6.66666666666667,5.33333333333333,1.33333333333333,TRUE,TRUE,TRUE,107
"101",NA,"ms","pro-first",7,7,5,6,5,7,6,8,3,6,"1","1","2","1","1","4","1","1","3","1","2","1","1","4","1","1","4","1","2","1","1","1","4","1","1","1","1","1","1","1","1","1","1","1","1","1","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","4",7,"0",1,"riverside","riverside",5.33333333333333,5.66666666666667,-0.333333333333334,TRUE,FALSE,FALSE,107
"102",NA,"tv","pro-first",3,6,4,5,4,2,1,3,1,2,"3","1","3","1","1","3","1","1","3","1","3","1","1","4","1","1","4","2","1","1","1","1","3","1","3","3","1","1","3","1","1","1","1","1","1","1","4","1","1","1","1","1","3","1","3","1","1","3","1","1","3","2","1","1","1","4","1","2","4","1","1","4",1,"0",1,"riverside","riverside",4.33333333333333,2,2.33333333333333,TRUE,FALSE,FALSE,107
"103",NA,"tv","anti-first",6,6,5,7,6,6,6,5,5,4,"2","1","2","1","1","4","1","1","2","1","3","1","2","4","1","3","4","1","2","3","1","1","4","1","1","3","1","1","1","3","1","1","1","2","1","1","4","1","1","1","1","1","1","1","2","1","1","2","1","1","4","2","1","1","1","3","1","1","4","1","1","6",7,"0",1,"riverside","riverside",6,4.66666666666667,1.33333333333333,TRUE,FALSE,FALSE,107
"104",NA,"ms","pro-first",7,7,6,5,5,5,3,4,1,3,"2","2","2","1","1","4","1","1","3","1","1","1","1","3","2","3","3","1","2","1","2","2","3","1","1","1","1","1","3","4","2","1","1","2","1","1","2","2","3","1","1","1","2","1","1","1","1","1","1","1","2","1","1","1","1","1","1","2","2","1","1","6",7,"0",1,"riverside","riverside",5.33333333333333,2.66666666666667,2.66666666666667,TRUE,FALSE,FALSE,107
"105",NA,"tv","pro-first",6,6,8,8,7,9,9,9,9,9,"1","1","1","1","1","4","1","1","1","1","1","1","1","4","2","1","2","1","1","2","1","1","4","1","1","1","1","1","1","2","1","1","1","1","1","1","2","2","1","2","1","1","1","1","1","1","1","2","1","1","2","1","3","1","1","2","1","2","2","1","1","6",6,"0",1,"riverside","riverside",7.66666666666667,9,-1.33333333333333,TRUE,FALSE,FALSE,107
"106",NA,"ms","pro-first",9,7,8,6,6,6,3,4,4,6,"3","2","3","3","1","1","1","2","2","2","3","3","1","5","5","2","3","3","3","3","4","5","5","2","3","3","3","4","5","2","2","1","4","3","3","2","2","2","4","4","3","2","4","3","3","2","1","5","4","4",NA,"2","5","2","2","2","1","1","3","1","1","4",7,"0",1,"riverside","riverside",6.66666666666667,4.66666666666667,2,TRUE,FALSE,FALSE,107
"107",NA,"tv","anti-first",8,8,8,8,8,9,9,9,9,9,"1","3","1","4","2","2","2","1","2","4","1","3","1","5","2","1","3","1","3","3","1","1","1","3","1","1","1","1","1","1","4","1","4","3","1","1","2","1","1","1","4","3","1","3","2","3","2","1","1","1","2","1","1","3","1","1","3","1","1","3","2","2",2,"0",1,"riverside","riverside",8,9,-1,TRUE,FALSE,FALSE,107
"108",NA,"tv","anti-first",9,9,8,8,8,2,2,2,1,1,"1","3","2","1","2","1","1","2","3","1","3","2","3","5","2","2","1","3","1","1","1","1","4","1","1","3","2","3","2","2","3","1","3","1","2","4","4","2","2","3","2","4","2","3","2","1","1","3","3","1","1","2","2","3","1","5","1","2","5","1","2","4",NA,"0",1,"riverside","riverside",8,1.33333333333333,6.66666666666667,TRUE,FALSE,FALSE,107
"109",NA,"tv","pro-first",8,8,6,9,6,7,5,4,4,3,"3","1","3","1","2","4","1","4","5","1","3","1","2","5","1","1","2","2","1","1","1","1","5","1","2","5","2","5","5","1","1","1","1","1","4","4","2","5","1","5","1","1","3","1","4","1","1","3","5","4","4","3","4","1","1","5","1","1","5","1","1","6",9,"0",1,"riverside","riverside",7,3.66666666666667,3.33333333333333,TRUE,FALSE,FALSE,107
"110",NA,"ms","pro-first",7,8,6,9,9,6,1,6,4,7,"1","1","1","1","1","3","1","1","3","1","1","1","4","2","2","2","1","1","1","1","1","1","3","1","1","1","1","3","2","1","1","1","1","1","1","1","2","2","1","3","1","1","1","1","1","1","1","4","2","1","2","1","1","1","1","5","1","1","4","1","1",NA,8,"0",1,"riverside","riverside",8,5.66666666666667,2.33333333333333,TRUE,FALSE,FALSE,107
"1","3/31/2017","ms","pro-first",8,9,6,7,6,9,9,7,7,7,"3","1","3","1","1","2","1","2","2","1","3","1","1","2","1","1","1","1","1","1","1","1","2","1","1","4","1","2","3","1","1","1","1","1","1","1","3","4","1","3","1","1","3","1","4","1","1","2","2","2","3","3","2","1","1","4","1","1","1","1","1","1",7,NA,1,"uwmadison_expert","uwmadison",6.33333333333333,7,-0.666666666666667,TRUE,TRUE,TRUE,80
"2","3/31/2017","ms","pro-first",7,7,7,8,8,2,2,3,1,3,"4","2","2","1","3","2","1","2","3","2","2","1","1","3","2","1","1","1","1","1","1","2","3","1","2","2","2","1","2","1","1","1","1","1","1","1","3","2","1","1","2","2","1","1","1","1","1","2","1","1","2","2","1","1","1","2","1","1","2","1","1","1",9,NA,1,"uwmadison_expert","uwmadison",7.66666666666667,2.33333333333333,5.33333333333333,TRUE,TRUE,TRUE,80
"3","3/31/2017","ms","pro-first",7,7,4,5,4,7,5,5,4,4,"1","3","1","1","1","2","1","1","2","2","1","2","1","1","1","1","1","1","1","2","1","1","2","1","1","1","1","1","2","2","1","2","1","1","1","1","2","2","2","2","1","3","1","1","1","1","1","1","1","1","2","2","1","3","2","2","1","1","2","2","2","4",6,NA,1,"uwmadison_expert","uwmadison",4.33333333333333,4.33333333333333,0,TRUE,FALSE,FALSE,80
"4","3/31/2017","ms","pro-first",9,8,5,6,5,2,1,4,4,4,"1","2","1","1","1","5","1","1","5","1","1","1","1","5","1","1","4","1","1","2","2","1","5","1","1","3","1","2","5","5","3","1","1","1","1","1","4","4","2","3","3","1","2","1","1","1","1","5","1","1","5","2","3","1","1","5","2","4","4","1","1","1",9,NA,1,"uwmadison_expert","uwmadison",5.33333333333333,4,1.33333333333333,TRUE,TRUE,TRUE,80
"5","3/31/2017","ms","pro-first",9,9,9,9,8,2,2,6,1,2,"4","1","3","1","1","5","1","3","4","1","3","1","1","3","2","1","2","1","1","1","3","2","3","1","1","4","4","2","4","1","1","1","1","1","1","1","4","3","3","3","2","1","4","1","1","1","1","4","1","2","3","3","2","1","1","4","1","1","2","1","1","1",8,NA,1,"uwmadison_expert","uwmadison",8.66666666666667,3,5.66666666666667,TRUE,TRUE,TRUE,80
"6","3/31/2017","ms","pro-first",3,4,5,3,5,1,3,5,3,3,"1","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","3","1","2","1","1","2","2","1","1","1","1","1","1","1","1","1","1","2","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","2","1","1","1","1","2","2","1",NA,7,NA,1,"uwmadison_expert","uwmadison",4.33333333333333,3.66666666666667,0.666666666666667,TRUE,FALSE,FALSE,80
"7","3/31/2017","ms","pro-first",7,7,7,6,6,6,5,4,3,4,"2","1","2","1","1","4","1","2","2","1","2","1","1","5","1","1","3","2","1","1","1","1","4","1","2","3","1","2","3","1","1","1","1","1","1","1","3","3","1","2","2","1","2","1","2","1","1","3","2","1","2","2","2","1","1","3","1","1","1","1","1","1",6,NA,1,"uwmadison_expert","uwmadison",6.33333333333333,3.66666666666667,2.66666666666667,TRUE,TRUE,FALSE,80
"8","3/31/2017","ms","pro-first",6,6,6,7,5,7,8,8,8,8,"2","3","4","2","3","1","3","3","5","2","2","3","2","3","1","4","2","4","3","2","4","4","2","3","2","2","3","2","3","3","4","4","3","4","4","4","2","5","3","3","3","4","2","2","2","3","4","3","3","4","3","4","3","3","2","4","2","2","1","3","1","1",9,NA,1,"uwmadison_expert","uwmadison",6,8,-2,TRUE,TRUE,TRUE,80
"9","3/31/2017","ms","pro-first",6,6,5,5,5,6,7,5,6,5,"3","1","2","1","1","4","1","2","3","1","3","1","2","3","1","1","2","2","1","1","4","1","4","1","1","3","3","1","4","1","1","1","1","1","1","1","4","2","2","2","2","1","2","1","3","1","1","2","2","2","3","2","3","1","1","2","1","1","3","1","1","1",4,NA,1,"uwmadison_expert","uwmadison",5,5.33333333333333,-0.333333333333333,TRUE,TRUE,FALSE,80
